n,p,runtime,success,num_warnings
20,5,62.77296590805054,True,0
20,10,133.98282837867737,True,0
50,5,53.99016070365906,True,0
50,10,105.69401216506958,True,0
100,5,54.190051555633545,True,0
100,10,90.44099283218384,True,0
